pkt_size,ip_len,ttl,ip_proto,frag_offset,is_fragment,src_port,dst_port,udp_len,gtp_teid,gtp_type,gtp_seq,payload_len,payload_entropy,has_gtp,pkt_rate,byte_rate,inter_arrival,label
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.0,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.007361888885498047,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.9922730922698975,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.003180980682373047,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.9984269142150879,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.003637075424194336,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.998309850692749,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.005518198013305664,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.9966340065002441,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.004936933517456055,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.8529529571533203,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.04286313056945801,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.00138092041015625,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.0002429485321044922,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.047042131423950195,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.05153393745422363,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.005168914794921875,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.572918007589557,0,0,0,0.1256561279296875,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0014748573303222656,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0008881092071533203,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.04503583908081055,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0014271736145019531,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.8215270042419434,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.0031709671020507812,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.14237499237060547,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.0478968620300293,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0016779899597167969,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.043244123458862305,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.556769017820083,0,0,0,0.18252301216125488,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.002477884292602539,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.04875016212463379,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0014448165893554688,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.5287981033325195,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.004554033279418945,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.43016505241394043,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.04672598838806152,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0017039775848388672,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.00011587142944335938,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.04398918151855469,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.580754199544696,0,0,0,0.194288969039917,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.002260923385620117,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.046935081481933594,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.001500844955444336,0
